Date,Open,High,Low,Close,Adj Close,Volume
2018-07-25,87.730003,88.500000,86.379997,88.430000,87.650757,2648100
2018-07-26,88.720001,91.400002,88.540001,89.820000,89.028503,3152300
2018-07-27,90.129997,90.370003,84.150002,84.910004,84.161789,3578600
2018-07-30,84.839996,85.989998,83.040001,83.239998,82.506493,2151200
2018-07-31,83.760002,86.849998,83.510002,85.779999,85.024117,2397600
2018-08-01,85.459999,86.279999,83.599998,85.550003,84.796143,2207900
2018-08-02,84.320000,87.739998,84.269997,87.379997,86.610008,2183700
2018-08-03,87.650002,88.419998,85.239998,86.279999,85.519699,2688600
2018-08-06,86.279999,88.129997,85.690002,87.839996,87.065964,2259900
2018-08-07,88.690002,89.660004,88.279999,88.440002,87.660667,1927200
2018-08-08,88.449997,88.870003,86.570000,88.290001,87.511993,2441000
2018-08-09,88.389999,89.980003,88.199997,88.849998,88.067062,1906800
2018-08-10,87.269997,89.879997,87.199997,88.099998,87.323669,2851400
2018-08-13,88.500000,88.889999,85.519997,86.550003,85.787331,2685100
2018-08-14,87.120003,89.669998,87.059998,89.120003,88.334679,2657800
2018-08-15,88.339996,88.500000,84.290001,85.800003,85.043945,3797300
2018-08-16,86.940002,88.910004,86.629997,87.989998,87.214638,2573500
2018-08-17,87.790001,89.370003,86.980003,89.230003,88.443710,2492500
2018-08-20,90.000000,90.489998,88.430000,89.930000,89.137550,2525000
2018-08-21,90.400002,93.970001,90.400002,92.970001,92.150764,3856900
2018-08-22,92.750000,94.169998,92.459999,93.690002,92.864418,2351700
2018-08-23,93.599998,94.220001,92.019997,92.860001,92.041725,2656100
2018-08-24,93.599998,94.570000,93.349998,94.169998,93.340179,2015000
2018-08-27,95.169998,96.500000,94.379997,94.750000,93.915062,2754900
2018-08-28,95.250000,95.739998,93.459999,94.739998,93.905159,1992900
2018-08-29,94.989998,96.190002,94.029999,95.750000,94.906258,2059000
2018-08-30,95.169998,96.930000,94.629997,95.489998,94.648552,2701500
2018-08-31,94.800003,97.120003,94.760002,96.510002,95.659569,2036000
2018-09-04,96.050003,96.680000,93.379997,95.360001,94.519691,3825500
2018-09-05,95.110001,95.120003,92.120003,94.529999,93.697014,2847200
2018-09-06,95.050003,95.550003,92.230003,92.519997,91.704727,2766700
2018-09-07,91.830002,93.809998,90.910004,92.260002,91.447021,2253800
2018-09-10,93.500000,94.150002,92.110001,92.889999,92.071449,2228600
2018-09-11,92.389999,94.040001,91.470001,93.139999,92.319252,2328400
2018-09-12,92.739998,93.169998,90.389999,92.430000,91.615517,2611500
2018-09-13,93.500000,93.919998,91.849998,92.410004,91.595695,1703200
2018-09-14,92.650002,94.470001,92.050003,93.639999,92.814850,2326000
2018-09-17,93.660004,93.830002,90.309998,90.559998,89.761978,2313600
2018-09-18,91.000000,92.440002,90.750000,91.699997,90.891937,2044300
2018-09-19,91.779999,93.000000,89.809998,90.660004,89.861107,2005300
2018-09-20,91.800003,93.300003,91.000000,93.190002,92.368805,2068500
2018-09-21,94.000000,94.120003,91.580002,91.690002,90.882042,1916300
2018-09-24,91.690002,92.000000,89.220001,90.809998,90.009781,1883400
2018-09-25,91.220001,91.949997,90.919998,91.209999,90.420212,1069200
2018-09-26,91.779999,91.860001,88.300003,88.660004,87.892288,2045400
2018-09-27,89.250000,89.730003,88.260002,88.669998,87.902191,1829600
